id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2280,Na Tum Jano Na Hum,Lucky Ali, Romantic,Kaho Naa.... Pyaar Hai,9.1
2281,Jaane Bhi De (Duet),"Sonu Nigam, Sunidhi Chauhan", Romantic,Ishkq In Paris,9
2282,Ae Dil Pyar Ki Manzil,Mukesh, Dance,Aas Ka Panchhi,8.4
2283,Patli Kamar Hai,"Lata Mangeshkar, Mukesh", Dance,Barsaat,9.1
2284,Lungi Dance (Remix),Yo Yo Honey Singh, Dance,Chennai Express,9
2285,Yeh Zindagi Ka Mausam,"Asha Bhosle, Mohammed Rafi", Dance,Ghunghat,9.4
2286,Tumhen Pa Ke Humne Jahan Pa Liya,"Asha Bhosle, Mohammed Rafi", Romantic,Gehra Daag,8.6
2287,Dhoop,Shreya Ghoshal, Romantic,Goliyon Ki Rasleela Ram-leela,9.6
2288,Ghoongte Mein Chanda,Udit Narayan, Dance,Koyla,9.3
2289,Hum Ko Tumhare Ishq Ne,Mohammed Rafi, Romantic,Ek Musafir Ek Hasina,9.3
2290,Accident Ho Gaya,"Asha Bhosle, Prayag Raj, Shabbir Kumar", Dance,Coolie,7.6
2291,Ainvayi Ainvayi (Dilli Club Mix),"Abhijit Vaghani, Master Saleem, Sunidhi Chauhan", Dance,Band Baaja Baaraat,9.5
2292,Is Pal Ki Soch,Harshdeep Kaur, Dance,Halla Bol,8.8
2293,Sach Hue Sapne Apne,Asha Bhosle, Dance,Kala Bazar,9.3
2294,Rang De,"Shankar Mahadevan, Suraj Jagan", Motivational,My Name is Khan,9.8
2295,Le Jaa,Pankaj Awasthi, Sad,Karam,9.4
2296,Wah Wah Ram Ji,"Lata Mangeshkar, S.P. Balasubrahmanyam", Dance,Hum Aapke Hain Koun,8.3
2297,Hay Re Insaan Ki Majbooriya,Mohammed Rafi, Sad,Ghunghat,9.6
2298,Sanjh Dhali,"Asha Bhosle, Manna Dey", Romantic,Kala Bazar,9.2
2299,Kabhi Kisi Ki Khushian Koi Loote Na,Mukesh, Sad,Zindagi Aur Khwab,8.9
2300,Danka Bajega,Aaman Trikha, Dance,Khel To Abb Shuru Hoga,5.8
2301,Ibn-E-Batuta,Mika Singh, Dance,Ishqiya,8.8
2302,Dil To Bachcha Hai,Rahat Fateh Ali Khan, Romantic,Ishqiya,8.9
2303,Dekhen Bhi To Kya Dekhen,"Lata Mangeshkar, Udit Narayan", Dance,Farz,8.4
2304,Ae Baby Ae Jee Idhar Aao,"Asha Bhosle, Mohammed Rafi", Dance,Love In Shimla,9.4
2305,Hamdam Mere,"Asha Bhosle, Mohammed Rafi", Dance,Phir Wohi Dil Laya Hoon,9.4
2306,Band Baaja Baaraat Mashup,Multiple, Dance,Band Baaja Baaraat,8.7
2307,Teetar Ke Do Aage Teetar,"Asha Bhosle, Mukesh, Simi Garewal", Dance,Mera Naam Joker,8.3
2308,Shakira,"Hard Kaur, Kalpana, Master Saleem", Dance,No Problem,9.1
2309,Shakira,"Hard Kaur, Master Saleem, Pritam Chakraborty", Dance,No Problem,9.1
2310,Jiya Le Gayo Ji Mora Sanwariya,Lata Mangeshkar, Dance,Anpadh,9
2311,Mori Chham Chham Baje Payaliya,Lata Mangeshkar, Dance,Ghunghat,7.6
2312,G Pe Danda,"Aaman Trikha, Pawni Pandey, Prashant Vadhyar", Dance,Fugly,7.2
2313,Lootnewale,"Master Saleem, Sukhwinder Singh, Vishal Bhardwaj", Dance,Matru Ki Bijlee Ka Mandola,9.3
2314,Anjaana Anjaani Ki Kahani,"Monali Thakur, Nikhil Dsouza", Sad,Anjaana Anjaani,9.3
2315,Teen Patti,Salim Merchant, Dance,Teen Patti,8.8
2316,Khuda Hafiz Anjaani Anjaana,"Karthik, Lucky Ali, Sunitha Sarathy", Dance,Yuva,9.3
2317,Jaane,Sunidhi Chauhan, Sad,Chameli,9.1
2318,Awaara,Master Saleem, Dance,7 Khoon Maaf,9.6
2319,Mera Mirza Sher Jawan,Daler Mehndi, Sad,Mirzya - Dare To Love,9
2320,Dhoondo Dhoondo Re Sajna,Lata Mangeshkar, Romantic,Gunga Jumna,8.8
2321,Kitna Pyara Ye Chehra,"Anuradha Paudwal, Inderjeet", Dance,Beta,8.2
2322,Dil Ki Kahani Rang Layee Hai,Asha Bhosle, Dance,Chaudhvin Ka Chand,9.1
2323,Party On My Mind (Remix),"Shefali Alvares, Yo Yo Honey Singh", Dance,Race 2,9.2
2324,Jane Kahan Gayi,Mohammed Rafi, Dance,Dil Apna Aur Preet Parai,9.1
2325,Mirza Se Darre Khuda Daler Mehndi,Daler Mehndi, Motivational,Mirzya - Dare To Love,7.1
2326,Larki Deewani Dekho,"Sunidhi Chauhan, Udit Narayan", ,Shastra,9.2
2327,Arre Yaaro Mere Pyaaro,"Udit Narayan, Vijayeta Pandit", ,Jo Jeeta Wohi Sikander,9.3
2328,Reham Nazar Karo,Mohammed Rafi, Devotional,Shirdi Saibaba,9.6
2329,Ae Bhai Zara Dekh Ke Chalo,Manna Dey, Dance,Mera Naam Joker,8.8
2330,Bedardi Mere Saiyan,Asha Bhosle, Dance,Chaudhvin Ka Chand,9.4
2331,Gaal Gulabi Kis Ke Hain,Mohammed Rafi, Dance,Love In Shimla,9.4
2332,Bechayan Sapne,"Abhijeet Sawant, Gulraj Singh, Mahalakshmi Iyer, Sameer Khan, Shankar Mahadevan", Dance,Romance Now,9
2333,Yeh Lucknow Ki Sar Zameen,Mohammed Rafi, Dance,Chaudhvin Ka Chand,9.1
2334,Ab Mujhe Koi,Rekha Bhardwaj, Sad,Ishqiya,9.3
2335,Mera Bandar Chala Sasural,"Kamal Barot, Mohammed Rafi", Dance,Zindagi Aur Khwab,7.3
2336,O Lal Dupatte Wali,"Alka Yagnik, Kavita Krishnamurthy, Kumar Sanu, Sudesh Bhonsle", Romantic,Aankhen,8.1
2337,O Lal Dupatte Wali,"Alka Yagnik, Kavita Krishnamurthy, Kumar Sanu, Sudesh Bhosle", Dance,Aankhen,8.1
2338,Kehti Hai Jhuki Jhuki Nazar,Suman Kalyanpur, Dance,Zindagi Aur Khwab,8.7
2339,Dil To Dete Nahin,Asha Bhosle, Dance,Kaalia,8.6
2340,Ek Thi Ladki Meri Saheli,Asha Bhosle, Dance,Gumrah,9.2
2341,Khoye Khoye Din Hain,"Anuradha Paudwal, Sonu Nigam", Dance,Hum Tumhare Hain Sanam,8.9
2342,Baadalon Mein Chup Raha Chand,"Alka Yagnik, Kumar Sanu", Romantic,Phir Teri Kahani Yaad Aayee,8.5
2343,Paaji Tussi Such A Pussy Cat (Remix),"Amitabh Bhattacharya, Divya Kumar, Jigar Saraiya", Dance,Happy Ending,8
